DateKey,DepartmentKey,BedsAvailable,BedsOccupied,OccupancyRate
20240416,1,40,28,0.7
20240417,1,40,30,0.75
20240418,1,40,27,0.675
20240419,1,40,33,0.825
20240420,1,40,23,0.575
20240421,1,40,25,0.625
20240422,1,40,25,0.625
20240423,1,40,33,0.825
20240424,1,40,29,0.725
20240425,1,40,26,0.65
20240426,1,40,29,0.725
20240427,1,40,24,0.6
20240428,1,40,25,0.625
20240429,1,40,33,0.825
20240430,1,40,32,0.8
20240501,1,40,35,0.875
20240502,1,40,30,0.75
20240503,1,40,34,0.85
20240504,1,40,27,0.675
20240505,1,40,30,0.75
20240506,1,40,35,0.875
20240507,1,40,36,0.9
20240508,1,40,37,0.925
20240509,1,40,33,0.825
20240510,1,40,36,0.9
20240511,1,40,28,0.7
20240512,1,40,25,0.625
20240513,1,40,37,0.925
20240514,1,40,28,0.7
20240515,1,40,35,0.875
20240516,1,40,30,0.75
20240517,1,40,27,0.675
20240518,1,40,29,0.725
20240519,1,40,24,0.6
20240520,1,40,29,0.725
20240521,1,40,32,0.8
20240522,1,40,27,0.675
20240523,1,40,25,0.625
20240524,1,40,29,0.725
20240525,1,40,27,0.675
20240526,1,40,29,0.725
20240527,1,40,27,0.675
20240528,1,40,28,0.7
20240529,1,40,28,0.7
20240530,1,40,29,0.725
20240531,1,40,32,0.8
20240601,1,40,27,0.675
20240602,1,40,25,0.625
20240603,1,40,30,0.75
20240604,1,40,31,0.775
20240605,1,40,37,0.925
20240606,1,40,34,0.85
20240607,1,40,35,0.875
20240608,1,40,30,0.75
20240609,1,40,31,0.775
20240610,1,40,37,0.925
20240611,1,40,38,0.95
20240612,1,40,34,0.85
20240613,1,40,34,0.85
20240614,1,40,35,0.875
20240615,1,40,27,0.675
20240616,1,40,23,0.575
20240617,1,40,31,0.775
20240618,1,40,30,0.75
20240619,1,40,29,0.725
20240620,1,40,30,0.75
20240621,1,40,28,0.7
20240622,1,40,23,0.575
20240623,1,40,23,0.575
20240624,1,40,28,0.7
20240625,1,40,32,0.8
20240626,1,40,27,0.675
20240627,1,40,30,0.75
20240628,1,40,33,0.825
20240629,1,40,28,0.7
20240630,1,40,29,0.725
20240701,1,40,29,0.725
20240702,1,40,33,0.825
20240703,1,40,33,0.825
20240704,1,40,37,0.925
20240705,1,40,31,0.775
20240706,1,40,29,0.725
20240707,1,40,31,0.775
20240708,1,40,35,0.875
20240709,1,40,36,0.9
20240710,1,40,33,0.825
20240711,1,40,29,0.725
20240712,1,40,33,0.825
20240713,1,40,29,0.725
20240714,1,40,28,0.7
20240715,1,40,31,0.775
20240716,1,40,29,0.725
20240717,1,40,29,0.725
20240718,1,40,31,0.775
20240719,1,40,29,0.725
20240720,1,40,28,0.7
20240721,1,40,26,0.65
20240722,1,40,29,0.725
20240723,1,40,31,0.775
20240724,1,40,28,0.7
20240725,1,40,30,0.75
20240726,1,40,32,0.8
20240727,1,40,24,0.6
20240728,1,40,25,0.625
20240729,1,40,35,0.875
20240730,1,40,32,0.8
20240731,1,40,29,0.725
20240801,1,40,30,0.75
20240802,1,40,36,0.9
20240803,1,40,28,0.7
20240804,1,40,30,0.75
20240805,1,40,32,0.8
20240806,1,40,31,0.775
20240807,1,40,30,0.75
20240808,1,40,32,0.8
20240809,1,40,38,0.95
20240810,1,40,27,0.675
20240811,1,40,29,0.725
20240812,1,40,36,0.9
20240813,1,40,36,0.9
20240814,1,40,30,0.75
20240815,1,40,30,0.75
20240816,1,40,28,0.7
20240817,1,40,28,0.7
20240818,1,40,24,0.6
20240819,1,40,26,0.65
20240820,1,40,33,0.825
20240821,1,40,27,0.675
20240822,1,40,30,0.75
20240823,1,40,31,0.775
20240824,1,40,25,0.625
20240825,1,40,27,0.675
20240826,1,40,31,0.775
20240827,1,40,28,0.7
20240828,1,40,31,0.775
20240829,1,40,30,0.75
20240830,1,40,35,0.875
20240831,1,40,29,0.725
20240901,1,40,27,0.675
20240902,1,40,32,0.8
20240903,1,40,33,0.825
20240904,1,40,29,0.725
20240905,1,40,38,0.95
20240906,1,40,31,0.775
20240907,1,40,32,0.8
20240908,1,40,28,0.7
20240909,1,40,37,0.925
20240910,1,40,36,0.9
20240911,1,40,32,0.8
20240912,1,40,32,0.8
20240913,1,40,35,0.875
20240914,1,40,26,0.65
20240915,1,40,30,0.75
20240916,1,40,32,0.8
20240917,1,40,34,0.85
20240918,1,40,27,0.675
20240919,1,40,29,0.725
20240920,1,40,28,0.7
20240921,1,40,22,0.55
20240922,1,40,23,0.575
20240923,1,40,30,0.75
20240924,1,40,32,0.8
20240925,1,40,33,0.825
20240926,1,40,28,0.7
20240927,1,40,31,0.775
20240928,1,40,26,0.65
20240929,1,40,25,0.625
20240930,1,40,28,0.7
20241001,1,40,29,0.725
20241002,1,40,30,0.75
20241003,1,40,36,0.9
20241004,1,40,34,0.85
20241005,1,40,29,0.725
20241006,1,40,28,0.7
20241007,1,40,34,0.85
20241008,1,40,34,0.85
20241009,1,40,34,0.85
20241010,1,40,33,0.825
20241011,1,40,34,0.85
20241012,1,40,25,0.625
20241013,1,40,31,0.775
20241014,1,40,30,0.75
20241015,1,40,32,0.8
20241016,1,40,28,0.7
20241017,1,40,34,0.85
20241018,1,40,33,0.825
20241019,1,40,28,0.7
20241020,1,40,28,0.7
20241021,1,40,31,0.775
20241022,1,40,31,0.775
20241023,1,40,32,0.8
20241024,1,40,31,0.775
20241025,1,40,32,0.8
20241026,1,40,26,0.65
20241027,1,40,27,0.675
20241028,1,40,28,0.7
20241029,1,40,30,0.75
20241030,1,40,36,0.9
20241031,1,40,34,0.85
20241101,1,40,30,0.75
20241102,1,40,30,0.75
20241103,1,40,25,0.625
20241104,1,40,37,0.925
20241105,1,40,31,0.775
20241106,1,40,31,0.775
20241107,1,40,33,0.825
20241108,1,40,30,0.75
20241109,1,40,26,0.65
20241110,1,40,28,0.7
20241111,1,40,30,0.75
20241112,1,40,37,0.925
20241113,1,40,30,0.75
20241114,1,40,29,0.725
20241115,1,40,35,0.875
20241116,1,40,30,0.75
20241117,1,40,29,0.725
20241118,1,40,27,0.675
20241119,1,40,29,0.725
20241120,1,40,31,0.775
20241121,1,40,30,0.75
20241122,1,40,32,0.8
20241123,1,40,26,0.65
20241124,1,40,23,0.575
20241125,1,40,31,0.775
20241126,1,40,32,0.8
20241127,1,40,27,0.675
20241128,1,40,27,0.675
20241129,1,40,35,0.875
20241130,1,40,28,0.7
20241201,1,40,26,0.65
20241202,1,40,34,0.85
20241203,1,40,33,0.825
20241204,1,40,32,0.8
20241205,1,40,31,0.775
20241206,1,40,33,0.825
20241207,1,40,26,0.65
20241208,1,40,26,0.65
20241209,1,40,31,0.775
20241210,1,40,33,0.825
20241211,1,40,33,0.825
20241212,1,40,32,0.8
20241213,1,40,30,0.75
20241214,1,40,31,0.775
20241215,1,40,29,0.725
20241216,1,40,35,0.875
20241217,1,40,28,0.7
20241218,1,40,31,0.775
20241219,1,40,32,0.8
20241220,1,40,30,0.75
20241221,1,40,26,0.65
20241222,1,40,27,0.675
20241223,1,40,31,0.775
20241224,1,40,27,0.675
20241225,1,40,27,0.675
20241226,1,40,33,0.825
20241227,1,40,33,0.825
20241228,1,40,27,0.675
20241229,1,40,30,0.75
20241230,1,40,30,0.75
20241231,1,40,29,0.725
20250101,1,40,32,0.8
20250102,1,40,32,0.8
20250103,1,40,33,0.825
20250104,1,40,29,0.725
20250105,1,40,28,0.7
20250106,1,40,32,0.8
20250107,1,40,37,0.925
20250108,1,40,35,0.875
20250109,1,40,35,0.875
20250110,1,40,38,0.95
20250111,1,40,28,0.7
20250112,1,40,28,0.7
20250113,1,40,36,0.9
20250114,1,40,35,0.875
20250115,1,40,32,0.8
20250116,1,40,30,0.75
20250117,1,40,28,0.7
20250118,1,40,28,0.7
20250119,1,40,27,0.675
20250120,1,40,32,0.8
20250121,1,40,26,0.65
20250122,1,40,31,0.775
20250123,1,40,30,0.75
20250124,1,40,27,0.675
20250125,1,40,27,0.675
20250126,1,40,25,0.625
20250127,1,40,26,0.65
20250128,1,40,27,0.675
20250129,1,40,31,0.775
20250130,1,40,32,0.8
20250131,1,40,33,0.825
20250201,1,40,28,0.7
20250202,1,40,30,0.75
20250203,1,40,30,0.75
20250204,1,40,35,0.875
20250205,1,40,35,0.875
20250206,1,40,35,0.875
20250207,1,40,33,0.825
20250208,1,40,31,0.775
20250209,1,40,29,0.725
20250210,1,40,34,0.85
20250211,1,40,36,0.9
20250212,1,40,29,0.725
20250213,1,40,33,0.825
20250214,1,40,32,0.8
20250215,1,40,29,0.725
20250216,1,40,30,0.75
20250217,1,40,31,0.775
20250218,1,40,33,0.825
20250219,1,40,26,0.65
20250220,1,40,30,0.75
20250221,1,40,27,0.675
20250222,1,40,22,0.55
20250223,1,40,26,0.65
20250224,1,40,27,0.675
20250225,1,40,26,0.65
20250226,1,40,26,0.65
20250227,1,40,32,0.8
20250228,1,40,32,0.8
20250301,1,40,24,0.6
20250302,1,40,27,0.675
20250303,1,40,29,0.725
20250304,1,40,35,0.875
20250305,1,40,36,0.9
20250306,1,40,31,0.775
20250307,1,40,35,0.875
20250308,1,40,28,0.7
20250309,1,40,29,0.725
20250310,1,40,32,0.8
20250311,1,40,38,0.95
20250312,1,40,30,0.75
20250313,1,40,31,0.775
20250314,1,40,30,0.75
20250315,1,40,30,0.75
20250316,1,40,28,0.7
20250317,1,40,34,0.85
20250318,1,40,34,0.85
20250319,1,40,32,0.8
20250320,1,40,27,0.675
20250321,1,40,28,0.7
20250322,1,40,26,0.65
20250323,1,40,25,0.625
20250324,1,40,32,0.8
20250325,1,40,27,0.675
20250326,1,40,32,0.8
20250327,1,40,31,0.775
20250328,1,40,33,0.825
20250329,1,40,28,0.7
20250330,1,40,28,0.7
20250331,1,40,31,0.775
20250401,1,40,31,0.775
20250402,1,40,32,0.8
20250403,1,40,29,0.725
20250404,1,40,36,0.9
20250405,1,40,32,0.8
20250406,1,40,31,0.775
20250407,1,40,37,0.925
20250408,1,40,36,0.9
20250409,1,40,37,0.925
20250410,1,40,32,0.8
20250411,1,40,32,0.8
20250412,1,40,28,0.7
20250413,1,40,25,0.625
20250414,1,40,36,0.9
20250415,1,40,29,0.725
20250416,1,40,29,0.725
20250417,1,40,31,0.775
20250418,1,40,34,0.85
20250419,1,40,24,0.6
20250420,1,40,22,0.55
20250421,1,40,31,0.775
20250422,1,40,27,0.675
20250423,1,40,31,0.775
20250424,1,40,32,0.8
20250425,1,40,26,0.65
20250426,1,40,28,0.7
20250427,1,40,23,0.575
20250428,1,40,29,0.725
20250429,1,40,32,0.8
20250430,1,40,27,0.675
20250501,1,40,35,0.875
20250502,1,40,33,0.825
20250503,1,40,29,0.725
20250504,1,40,29,0.725
20250505,1,40,32,0.8
20250506,1,40,38,0.95
20250507,1,40,31,0.775
20250508,1,40,33,0.825
20250509,1,40,31,0.775
20250510,1,40,26,0.65
20250511,1,40,31,0.775
20250512,1,40,31,0.775
20250513,1,40,34,0.85
20250514,1,40,30,0.75
20250515,1,40,36,0.9
20250516,1,40,33,0.825
20250517,1,40,24,0.6
20250518,1,40,26,0.65
20250519,1,40,29,0.725
20250520,1,40,30,0.75
20250521,1,40,31,0.775
20250522,1,40,28,0.7
20250523,1,40,29,0.725
20250524,1,40,22,0.55
20250525,1,40,27,0.675
20250526,1,40,29,0.725
20250527,1,40,34,0.85
20250528,1,40,31,0.775
20250529,1,40,32,0.8
20250530,1,40,32,0.8
20250531,1,40,29,0.725
20250601,1,40,26,0.65
20250602,1,40,31,0.775
20250603,1,40,35,0.875
20250604,1,40,35,0.875
20250605,1,40,30,0.75
20250606,1,40,38,0.95
20250607,1,40,27,0.675
20250608,1,40,30,0.75
20250609,1,40,33,0.825
20250610,1,40,34,0.85
20250611,1,40,33,0.825
20250612,1,40,35,0.875
20250613,1,40,32,0.8
20250614,1,40,25,0.625
20250615,1,40,29,0.725
20250616,1,40,31,0.775
20250617,1,40,28,0.7
20250618,1,40,34,0.85
20250619,1,40,31,0.775
20250620,1,40,29,0.725
20250621,1,40,28,0.7
20250622,1,40,26,0.65
20250623,1,40,28,0.7
20250624,1,40,33,0.825
20250625,1,40,29,0.725
20250626,1,40,29,0.725
20250627,1,40,28,0.7
20250628,1,40,23,0.575
20250629,1,40,27,0.675
20250630,1,40,35,0.875
20250701,1,40,31,0.775
20250702,1,40,30,0.75
20250703,1,40,34,0.85
20250704,1,40,31,0.775
20250705,1,40,28,0.7
20250706,1,40,32,0.8
20250707,1,40,36,0.9
20250708,1,40,33,0.825
20250709,1,40,35,0.875
20250710,1,40,34,0.85
20250711,1,40,35,0.875
20250712,1,40,30,0.75
20250713,1,40,25,0.625
20250714,1,40,30,0.75
20250715,1,40,35,0.875
20250716,1,40,31,0.775
20250717,1,40,33,0.825
20250718,1,40,28,0.7
20250719,1,40,24,0.6
20250720,1,40,26,0.65
20250721,1,40,29,0.725
20250722,1,40,33,0.825
20250723,1,40,27,0.675
20250724,1,40,33,0.825
20250725,1,40,31,0.775
20250726,1,40,23,0.575
20250727,1,40,26,0.65
20250728,1,40,27,0.675
20250729,1,40,34,0.85
20250730,1,40,29,0.725
20250731,1,40,29,0.725
20250801,1,40,35,0.875
20250802,1,40,29,0.725
20250803,1,40,29,0.725
20250804,1,40,36,0.9
20250805,1,40,35,0.875
20250806,1,40,32,0.8
20250807,1,40,35,0.875
20250808,1,40,38,0.95
20250809,1,40,32,0.8
20250810,1,40,26,0.65
20250811,1,40,33,0.825
20250812,1,40,34,0.85
20250813,1,40,29,0.725
20250814,1,40,34,0.85
20250815,1,40,33,0.825
20250816,1,40,29,0.725
20250817,1,40,26,0.65
20250818,1,40,33,0.825
20250819,1,40,29,0.725
20250820,1,40,31,0.775
20250821,1,40,28,0.7
20250822,1,40,28,0.7
20250823,1,40,27,0.675
20250824,1,40,24,0.6
20250825,1,40,26,0.65
20250826,1,40,28,0.7
20250827,1,40,27,0.675
20250828,1,40,30,0.75
20250829,1,40,29,0.725
20250830,1,40,25,0.625
20250831,1,40,31,0.775
20250901,1,40,30,0.75
20250902,1,40,31,0.775
20250903,1,40,32,0.8
20250904,1,40,29,0.725
20250905,1,40,35,0.875
20250906,1,40,27,0.675
20250907,1,40,29,0.725
20250908,1,40,36,0.9
20250909,1,40,38,0.95
20250910,1,40,38,0.95
20250911,1,40,37,0.925
20250912,1,40,35,0.875
20250913,1,40,26,0.65
20250914,1,40,30,0.75
20250915,1,40,30,0.75
20250916,1,40,35,0.875
20250917,1,40,30,0.75
20250918,1,40,33,0.825
20250919,1,40,33,0.825
20250920,1,40,27,0.675
20250921,1,40,24,0.6
20250922,1,40,32,0.8
20250923,1,40,29,0.725
20250924,1,40,28,0.7
20250925,1,40,30,0.75
20250926,1,40,32,0.8
20250927,1,40,27,0.675
20250928,1,40,28,0.7
20250929,1,40,32,0.8
20250930,1,40,30,0.75
20251001,1,40,33,0.825
20251002,1,40,30,0.75
20251003,1,40,31,0.775
20251004,1,40,32,0.8
20251005,1,40,25,0.625
20251006,1,40,32,0.8
20251007,1,40,38,0.95
20251008,1,40,35,0.875
20251009,1,40,31,0.775
20251010,1,40,36,0.9
20251011,1,40,31,0.775
20251012,1,40,31,0.775
20251013,1,40,32,0.8
20251014,1,40,28,0.7
20251015,1,40,33,0.825
20251016,1,40,33,0.825
20251017,1,40,33,0.825
20251018,1,40,27,0.675
20251019,1,40,25,0.625
20251020,1,40,26,0.65
20251021,1,40,26,0.65
20251022,1,40,29,0.725
20251023,1,40,32,0.8
20251024,1,40,28,0.7
20251025,1,40,23,0.575
20251026,1,40,23,0.575
20251027,1,40,32,0.8
20251028,1,40,33,0.825
20251029,1,40,27,0.675
20251030,1,40,33,0.825
20251031,1,40,28,0.7
20251101,1,40,29,0.725
20251102,1,40,30,0.75
20251103,1,40,29,0.725
20251104,1,40,37,0.925
20251105,1,40,30,0.75
20251106,1,40,32,0.8
20251107,1,40,36,0.9
20251108,1,40,32,0.8
20251109,1,40,33,0.825
20251110,1,40,30,0.75
20251111,1,40,30,0.75
20251112,1,40,32,0.8
20251113,1,40,35,0.875
20251114,1,40,34,0.85
20251115,1,40,27,0.675
20251116,1,40,24,0.6
20251117,1,40,33,0.825
20251118,1,40,27,0.675
20251119,1,40,32,0.8
20251120,1,40,33,0.825
20251121,1,40,26,0.65
20251122,1,40,28,0.7
20251123,1,40,24,0.6
20251124,1,40,32,0.8
20251125,1,40,33,0.825
20251126,1,40,31,0.775
20251127,1,40,28,0.7
20251128,1,40,29,0.725
20251129,1,40,29,0.725
20251130,1,40,26,0.65
20251201,1,40,33,0.825
20251202,1,40,35,0.875
20251203,1,40,34,0.85
20251204,1,40,34,0.85
20251205,1,40,33,0.825
20251206,1,40,25,0.625
20251207,1,40,27,0.675
20251208,1,40,38,0.95
20251209,1,40,34,0.85
20251210,1,40,36,0.9
20251211,1,40,33,0.825
20251212,1,40,31,0.775
20251213,1,40,31,0.775
20251214,1,40,28,0.7
20251215,1,40,33,0.825
20251216,1,40,33,0.825
20251217,1,40,31,0.775
20251218,1,40,34,0.85
20251219,1,40,29,0.725
20251220,1,40,28,0.7
20251221,1,40,24,0.6
20251222,1,40,27,0.675
20251223,1,40,32,0.8
20251224,1,40,31,0.775
20251225,1,40,32,0.8
20251226,1,40,32,0.8
20251227,1,40,27,0.675
20251228,1,40,29,0.725
20251229,1,40,28,0.7
20251230,1,40,30,0.75
20251231,1,40,36,0.9
20240101,2,35,29,0.8286
20240102,2,35,28,0.8
20240103,2,35,26,0.7429
20240104,2,35,31,0.8857
20240105,2,35,31,0.8857
20240106,2,35,25,0.7143
20240107,2,35,22,0.6286
20240108,2,35,27,0.7714
20240109,2,35,33,0.9429
20240110,2,35,27,0.7714
20240111,2,35,29,0.8286
20240112,2,35,29,0.8286
20240113,2,35,22,0.6286
20240114,2,35,21,0.6
20240115,2,35,28,0.8
20240116,2,35,24,0.6857
20240117,2,35,29,0.8286
20240118,2,35,28,0.8
20240119,2,35,29,0.8286
20240120,2,35,22,0.6286
20240121,2,35,20,0.5714
20240122,2,35,26,0.7429
20240123,2,35,27,0.7714
20240124,2,35,24,0.6857
20240125,2,35,28,0.8
20240126,2,35,29,0.8286
20240127,2,35,20,0.5714
20240128,2,35,22,0.6286
20240129,2,35,30,0.8571
20240130,2,35,31,0.8857
20240131,2,35,24,0.6857
20240201,2,35,26,0.7429
20240202,2,35,26,0.7429
20240203,2,35,24,0.6857
20240204,2,35,23,0.6571
20240205,2,35,28,0.8
20240206,2,35,28,0.8
20240207,2,35,27,0.7714
20240208,2,35,29,0.8286
20240209,2,35,27,0.7714
20240210,2,35,24,0.6857
20240211,2,35,25,0.7143
20240212,2,35,29,0.8286
20240213,2,35,27,0.7714
20240214,2,35,29,0.8286
20240215,2,35,29,0.8286
20240216,2,35,26,0.7429
20240217,2,35,25,0.7143
20240218,2,35,20,0.5714
20240219,2,35,23,0.6571
20240220,2,35,25,0.7143
20240221,2,35,27,0.7714
20240222,2,35,24,0.6857
20240223,2,35,26,0.7429
20240224,2,35,24,0.6857
20240225,2,35,21,0.6
20240226,2,35,28,0.8
20240227,2,35,26,0.7429
20240228,2,35,27,0.7714
20240229,2,35,30,0.8571
20240301,2,35,25,0.7143
20240302,2,35,23,0.6571
20240303,2,35,24,0.6857
20240304,2,35,32,0.9143
20240305,2,35,31,0.8857
20240306,2,35,29,0.8286
20240307,2,35,29,0.8286
20240308,2,35,30,0.8571
20240309,2,35,26,0.7429
20240310,2,35,23,0.6571
20240311,2,35,28,0.8
20240312,2,35,27,0.7714
20240313,2,35,29,0.8286
20240314,2,35,30,0.8571
20240315,2,35,26,0.7429
20240316,2,35,21,0.6
20240317,2,35,25,0.7143
20240318,2,35,24,0.6857
20240319,2,35,24,0.6857
20240320,2,35,25,0.7143
20240321,2,35,24,0.6857
20240322,2,35,22,0.6286
20240323,2,35,20,0.5714
20240324,2,35,21,0.6
20240325,2,35,23,0.6571
20240326,2,35,24,0.6857
20240327,2,35,28,0.8
20240328,2,35,24,0.6857
20240329,2,35,28,0.8
20240330,2,35,26,0.7429
20240331,2,35,21,0.6
20240401,2,35,31,0.8857
20240402,2,35,30,0.8571
20240403,2,35,29,0.8286
20240404,2,35,31,0.8857
20240405,2,35,31,0.8857
20240406,2,35,25,0.7143
20240407,2,35,25,0.7143
20240408,2,35,26,0.7429
20240409,2,35,27,0.7714
20240410,2,35,27,0.7714
20240411,2,35,29,0.8286
20240412,2,35,30,0.8571
20240413,2,35,22,0.6286
20240414,2,35,22,0.6286
20240415,2,35,28,0.8
20240416,2,35,26,0.7429
20240417,2,35,28,0.8
20240418,2,35,26,0.7429
20240419,2,35,29,0.8286
20240420,2,35,23,0.6571
20240421,2,35,21,0.6
20240422,2,35,25,0.7143
20240423,2,35,22,0.6286
20240424,2,35,25,0.7143
20240425,2,35,23,0.6571
20240426,2,35,29,0.8286
20240427,2,35,20,0.5714
20240428,2,35,22,0.6286
20240429,2,35,28,0.8
20240430,2,35,25,0.7143
20240501,2,35,26,0.7429
20240502,2,35,30,0.8571
20240503,2,35,26,0.7429
20240504,2,35,27,0.7714
20240505,2,35,24,0.6857
20240506,2,35,29,0.8286
20240507,2,35,27,0.7714
20240508,2,35,26,0.7429
20240509,2,35,27,0.7714
20240510,2,35,32,0.9143
20240511,2,35,24,0.6857
20240512,2,35,24,0.6857
20240513,2,35,29,0.8286
20240514,2,35,28,0.8
20240515,2,35,24,0.6857
20240516,2,35,27,0.7714
20240517,2,35,30,0.8571
20240518,2,35,21,0.6
20240519,2,35,24,0.6857
20240520,2,35,25,0.7143
20240521,2,35,25,0.7143
20240522,2,35,24,0.6857
20240523,2,35,23,0.6571
20240524,2,35,25,0.7143
20240525,2,35,24,0.6857
20240526,2,35,25,0.7143
20240527,2,35,24,0.6857
20240528,2,35,28,0.8
20240529,2,35,27,0.7714
20240530,2,35,30,0.8571
20240531,2,35,30,0.8571
20240601,2,35,22,0.6286
20240602,2,35,24,0.6857
20240603,2,35,31,0.8857
20240604,2,35,30,0.8571
20240605,2,35,28,0.8
20240606,2,35,29,0.8286
20240607,2,35,27,0.7714
20240608,2,35,25,0.7143
20240609,2,35,28,0.8
20240610,2,35,29,0.8286
20240611,2,35,31,0.8857
20240612,2,35,29,0.8286
20240613,2,35,28,0.8
20240614,2,35,24,0.6857
20240615,2,35,21,0.6
20240616,2,35,23,0.6571
20240617,2,35,26,0.7429
20240618,2,35,27,0.7714
20240619,2,35,23,0.6571
20240620,2,35,25,0.7143
20240621,2,35,22,0.6286
20240622,2,35,23,0.6571
20240623,2,35,24,0.6857
20240624,2,35,27,0.7714
20240625,2,35,27,0.7714
20240626,2,35,23,0.6571
20240627,2,35,25,0.7143
20240628,2,35,27,0.7714
20240629,2,35,26,0.7429
20240630,2,35,21,0.6
20240701,2,35,28,0.8
20240702,2,35,29,0.8286
20240703,2,35,29,0.8286
20240704,2,35,27,0.7714
20240705,2,35,30,0.8571
20240706,2,35,24,0.6857
20240707,2,35,24,0.6857
20240708,2,35,29,0.8286
20240709,2,35,33,0.9429
20240710,2,35,27,0.7714
20240711,2,35,33,0.9429
20240712,2,35,26,0.7429
20240713,2,35,22,0.6286
20240714,2,35,22,0.6286
20240715,2,35,28,0.8
20240716,2,35,25,0.7143
20240717,2,35,26,0.7429
20240718,2,35,29,0.8286
20240719,2,35,24,0.6857
20240720,2,35,24,0.6857
20240721,2,35,19,0.5429
20240722,2,35,25,0.7143
20240723,2,35,25,0.7143
20240724,2,35,25,0.7143
20240725,2,35,24,0.6857
20240726,2,35,29,0.8286
20240727,2,35,23,0.6571
20240728,2,35,25,0.7143
20240729,2,35,27,0.7714
20240730,2,35,26,0.7429
20240731,2,35,27,0.7714
20240801,2,35,26,0.7429
20240802,2,35,32,0.9143
20240803,2,35,22,0.6286
20240804,2,35,24,0.6857
20240805,2,35,33,0.9429
20240806,2,35,30,0.8571
20240807,2,35,31,0.8857
20240808,2,35,26,0.7429
20240809,2,35,31,0.8857
20240810,2,35,27,0.7714
20240811,2,35,25,0.7143
20240812,2,35,26,0.7429
20240813,2,35,30,0.8571
20240814,2,35,29,0.8286
20240815,2,35,27,0.7714
20240816,2,35,30,0.8571
20240817,2,35,21,0.6
20240818,2,35,25,0.7143
20240819,2,35,24,0.6857
20240820,2,35,23,0.6571
20240821,2,35,27,0.7714
20240822,2,35,22,0.6286
20240823,2,35,24,0.6857
20240824,2,35,23,0.6571
20240825,2,35,21,0.6
20240826,2,35,24,0.6857
20240827,2,35,23,0.6571
20240828,2,35,30,0.8571
20240829,2,35,30,0.8571
20240830,2,35,27,0.7714
20240831,2,35,26,0.7429
20240901,2,35,25,0.7143
20240902,2,35,25,0.7143
20240903,2,35,29,0.8286
20240904,2,35,28,0.8
